Валюта,Степень,Центральность_степени,Посредничество,Близость
LRD,1,0.006578947368421052,0.0,0.49836065573770494
LSL,1,0.006578947368421052,0.0,0.49836065573770494
LYD,1,0.006578947368421052,0.0,0.49836065573770494
MAD,1,0.006578947368421052,0.0,0.49836065573770494
MGA,1,0.006578947368421052,0.0,0.49836065573770494
MKD,1,0.006578947368421052,0.0,0.49836065573770494
MMK,1,0.006578947368421052,0.0,0.49836065573770494
MOP,1,0.006578947368421052,0.0,0.49836065573770494
MRU,1,0.006578947368421052,0.0,0.49836065573770494
MUR,1,0.006578947368421052,0.0,0.49836065573770494
MVR,1,0.006578947368421052,0.0,0.49836065573770494
MWK,1,0.006578947368421052,0.0,0.49836065573770494
NAD,1,0.006578947368421052,0.0,0.49836065573770494
NGN,1,0.006578947368421052,0.0,0.49836065573770494
OMR,1,0.006578947368421052,0.0,0.49836065573770494
PAB,1,0.006578947368421052,0.0,0.49836065573770494
PGK,1,0.006578947368421052,0.0,0.49836065573770494
PKR,1,0.006578947368421052,0.0,0.49836065573770494
QAR,1,0.006578947368421052,0.0,0.49836065573770494
RON,1,0.006578947368421052,0.0,0.49836065573770494
RSD,1,0.006578947368421052,0.0,0.49836065573770494
RWF,1,0.006578947368421052,0.0,0.49836065573770494
SBD,1,0.006578947368421052,0.0,0.49836065573770494
SCR,1,0.006578947368421052,0.0,0.49836065573770494
SDG,1,0.006578947368421052,0.0,0.49836065573770494
SEK,1,0.006578947368421052,0.0,0.49836065573770494
SLE,1,0.006578947368421052,0.0,0.49836065573770494
SOS,1,0.006578947368421052,0.0,0.49836065573770494
SRD,1,0.006578947368421052,0.0,0.49836065573770494
STN,1,0.006578947368421052,0.0,0.49836065573770494
SVC,1,0.006578947368421052,0.0,0.49836065573770494
SZL,1,0.006578947368421052,0.0,0.49836065573770494
TMT,1,0.006578947368421052,0.0,0.49836065573770494
TND,1,0.006578947368421052,0.0,0.49836065573770494
TOP,1,0.006578947368421052,0.0,0.49836065573770494
TTD,1,0.006578947368421052,0.0,0.49836065573770494
TZS,1,0.006578947368421052,0.0,0.49836065573770494
UGX,1,0.006578947368421052,0.0,0.49836065573770494
UZS,1,0.006578947368421052,0.0,0.49836065573770494
VES,1,0.006578947368421052,0.0,0.49836065573770494
VUV,1,0.006578947368421052,0.0,0.49836065573770494
WST,1,0.006578947368421052,0.0,0.49836065573770494
XAF,1,0.006578947368421052,0.0,0.49836065573770494
XCD,1,0.006578947368421052,0.0,0.49836065573770494
XOF,1,0.006578947368421052,0.0,0.49836065573770494
XPF,1,0.006578947368421052,0.0,0.49836065573770494
YER,1,0.006578947368421052,0.0,0.49836065573770494
ZAR,1,0.006578947368421052,0.0,0.49836065573770494
ZMW,1,0.006578947368421052,0.0,0.49836065573770494
XDR,1,0.006578947368421052,0.0,0.49836065573770494
