Валюта_1,Валюта_2,Пара,Тип
USD,BSD,USD/BSD,Exotic
USD,BTN,USD/BTN,Major
USD,BWP,USD/BWP,Exotic
USD,BZD,USD/BZD,Exotic
USD,CDF,USD/CDF,Major
USD,CNH,USD/CNH,Exotic
USD,CRC,USD/CRC,Exotic
USD,CUP,USD/CUP,Exotic
USD,CVE,USD/CVE,Major
USD,DJF,USD/DJF,Exotic
USD,DOP,USD/DOP,Exotic
USD,DZD,USD/DZD,Exotic
USD,ETB,USD/ETB,Exotic
USD,GEL,USD/GEL,Exotic
USD,GMD,USD/GMD,Exotic
USD,GNF,USD/GNF,Exotic
USD,GTQ,USD/GTQ,Exotic
USD,GYD,USD/GYD,Major
USD,HNL,USD/HNL,Exotic
USD,HTG,USD/HTG,Exotic
USD,ISK,USD/ISK,Exotic
USD,JMD,USD/JMD,Exotic
USD,KES,USD/KES,Exotic
USD,KHR,USD/KHR,Exotic
USD,KMF,USD/KMF,Exotic
USD,KZT,USD/KZT,Exotic
USD,LAK,USD/LAK,Exotic
USD,LBP,USD/LBP,Exotic
USD,LKR,USD/LKR,Exotic
USD,LRD,USD/LRD,Major
USD,LSL,USD/LSL,Exotic
USD,LYD,USD/LYD,Exotic
USD,MAD,USD/MAD,Exotic
USD,MDL,USD/MDL,Exotic
USD,MGA,USD/MGA,Exotic
USD,MKD,USD/MKD,Exotic
USD,MMK,USD/MMK,Exotic
USD,MNT,USD/MNT,Minor
USD,MOP,USD/MOP,Exotic
USD,MRU,USD/MRU,Major
USD,MUR,USD/MUR,Exotic
USD,MVR,USD/MVR,Exotic
USD,MWK,USD/MWK,Exotic
USD,MZN,USD/MZN,Exotic
USD,NAD,USD/NAD,Exotic
USD,NGN,USD/NGN,Exotic
USD,NPR,USD/NPR,Exotic
USD,OMR,USD/OMR,Exotic
USD,PAB,USD/PAB,Exotic
USD,PGK,USD/PGK,Exotic
USD,PKR,USD/PKR,Exotic
USD,QAR,USD/QAR,Exotic
USD,RON,USD/RON,Exotic
USD,RSD,USD/RSD,Exotic
USD,RWF,USD/RWF,Exotic
USD,SBD,USD/SBD,Major
USD,SCR,USD/SCR,Exotic
USD,SDG,USD/SDG,Exotic
USD,SEK,USD/SEK,Exotic
USD,SLE,USD/SLE,Major
USD,SOS,USD/SOS,Exotic
USD,SRD,USD/SRD,Major
USD,STN,USD/STN,Major
USD,SVC,USD/SVC,Exotic
USD,SZL,USD/SZL,Exotic
USD,TJS,USD/TJS,Minor
USD,TMT,USD/TMT,Minor
USD,TND,USD/TND,Exotic
USD,TOP,USD/TOP,Major
USD,TTD,USD/TTD,Exotic
USD,TZS,USD/TZS,Exotic
USD,UGX,USD/UGX,Exotic
USD,UYU,UYU/USD,Exotic
USD,UZS,USD/UZS,Exotic
USD,VES,USD/VES,Major
USD,VND,VND/USD,Minor
USD,VUV,USD/VUV,Exotic
USD,WST,USD/WST,Major
USD,XAF,USD/XAF,Exotic
USD,XCD,USD/XCD,Exotic
USD,XOF,USD/XOF,Exotic
USD,XPF,USD/XPF,Exotic
USD,YER,USD/YER,Exotic
USD,ZAR,ZAR/USD,Exotic
USD,ZMW,USD/ZMW,Exotic
USD,XDR,XDR/USD,Major
AUD,CAD,CAD/AUD,Minor
AUD,CHF,CHF/AUD,Minor
AUD,EUR,EUR/AUD,Minor
AUD,GBP,GBP/AUD,Minor
AUD,JPY,JPY/AUD,Minor
AUD,NZD,NZD/AUD,Minor
AUD,IDR,IDR/AUD,Minor
CAD,CHF,CHF/CAD,Minor
CAD,COP,CAD/COP,Minor
CAD,EUR,EUR/CAD,Minor
CAD,GBP,GBP/CAD,Minor
CAD,JPY,JPY/CAD,Minor
CAD,NZD,NZD/CAD,Minor
CHF,EUR,EUR/CHF,Minor
CHF,GBP,GBP/CHF,Minor
CHF,JPY,JPY/CHF,Minor
CHF,NZD,NZD/CHF,Minor
CHF,IDR,IDR/CHF,Minor
EUR,AMD,EUR/AMD,Minor
EUR,AOA,EUR/AOA,Minor
EUR,AZN,EUR/AZN,Exotic
EUR,GBP,GBP/EUR,Minor
EUR,GEL,EUR/GEL,Minor
EUR,JPY,JPY/EUR,Minor
EUR,MZN,EUR/MZN,Exotic
EUR,NZD,NZD/EUR,Minor
EUR,TJS,EUR/TJS,Minor
EUR,HUF,HUF/EUR,Minor
EUR,IDR,IDR/EUR,Minor
EUR,JOD,JOD/EUR,Minor
EUR,KWD,KWD/EUR,Minor
GBP,JPY,JPY/GBP,Minor
GBP,NPR,GBP/NPR,Minor
GBP,NZD,NZD/GBP,Minor
GBP,IDR,IDR/GBP,Minor
GBP,JOD,JOD/GBP,Minor
GBP,THB,THB/GBP,Minor
JPY,NZD,NZD/JPY,Minor
JPY,TRY,JPY/TRY,Minor
AZN,RUB,AZN/RUB,Minor
RUB,BGN,BGN/RUB,Minor
RUB,GEL,GEL/RUB,Minor
RUB,KGS,KGS/RUB,Minor
RUB,MDL,MDL/RUB,Minor
RUB,AMD,RUB/AMD,Minor
RUB,BRL,RUB/BRL,Minor
RUB,VND,RUB/VND,Minor
RUB,SDR,SDR/RUB,Minor
RUB,TJS,TJS/RUB,Minor
BGN,ILS,ILS/BGN,Minor
BHD,INR,BHD/INR,Minor
INR,BRL,INR/BRL,Minor
COP,ILS,ILS/COP,Minor
CNY,CNH,CNY/CNH,Minor
CNY,MNT,CNY/MNT,Minor
CZK,PLN,CZK/PLN,Minor
PLN,UAH,UAH/PLN,Minor
ILS,PEN,ILS/PEN,Minor
ILS,UAH,ILS/UAH,Minor
ILS,UYU,ILS/UYU,Minor
UAH,TRY,TRY/UAH,Minor
UAH,KZT,UAH/KZT,Minor
TRY,SDR,SDR/TRY,Minor
KWD,MYR,KWD/MYR,Minor
KWD,SGD,SGD/KWD,Minor
